id;int_composant;titre_composant;contenu
1;input JBOD next-generatio;core Loan;Fresh Kids
2;Gloves;Haute-Normandie Music;Lebanese Manager
3;Consultant;Account;ADP Bedfordshire Open-architected
4;Gloves Granite SQL;Berkshire;User-centric Administrateur Customizable
5;forecast Granite SCSI;Languedoc-Roussillon;Proactive
6;Keyboard Ergonomic Assist;IB Fresh;Plastic tan Decentralized
7;Books;Incredible SQL markets;c Cotton
8;Berkshire digital;copying Grocery Fish;Borders
9;bus connecting Assimilate;Loan solution-oriented;primary supply-chains
10;Frozen target Computer;b parsing;initiative
