id;int_societe;sigle;logo;siege
1;composite Fresh Picardie;de Hat Rwanda;pixel generate wireless;grey Steel Buckinghamshire
2;technologies Handcrafted;overriding Bedfordshire;Plastic Licensed;value-added
3;Cambridgeshire parsing b;interface USB;SDD;project TCP
4;technologies Frozen a;framework purple;Cheese Bahreïn;Frozen Handcrafted
5;Superviseur;PNG;Handcrafted;deposit
6;RAM Tasty;Adolphe;Credit;Handmade Enhanced
7;monitoring B2C;Vaugirard structure Aweso;Designer methodical Manag;Licensed disintermediate
8;bandwidth a;Handcrafted CFP Steel;calculate microchip;Extended
9;quantify;a relationships Automotiv;compressing;Automotive matrix SQL
10;Pants;Licensed Granite;c;experiences
